 ,,,Votes,,,Grades,,,,,,,,"Voting points (3,1,0)",Viewing Link,Password ,Contact Notes,Duration,Q&A?
,Total Invited,Total Submitted ,,,,,0,0,0,3,0,0,0,,,,,,
**BLUE TITLES ARE DIRECTLY INVITED OR UNDER CONSIDERATION TO BE INVITED**,4,11,Yes,Maybe,No,Average (or IMDB),DJ,AH,SD,IJ,IB,MH,TG,,,,,,
DIRECT INVITES,,,,,,,,,,,,,,,,,,,
Pavillion (Dino Mustafić) (FN),confirmed,,,,,,,,,,,,,,https://vimeo.com/1154814323?share=copy&fl=sv&fe=ci ,PAVILJONscreenFESTIVAL,,,
The Ottter (Srdjan Vuletic) (FN),"invited, pending",,,,,,,,,,,,,,https://vimeo.com/1108206189,TheOtter_2025,,,
Home Game (Lidija Zelović) (FD),confirmed,,,,,,,,,,,,,,https://vimeo.com/1087046258 ,taskovski8,,,
Steel Hotel Song (Bojan Stojičić) (SD),invited,,,,,,,,,,,,,,https://youtu.be/PCmb8v3cKDE ,,,,
"Mother (Teona Strugar Mitevska, sc. Elma Таatragić) (FN)",potential out of competition screening,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Feature Narrative,,,,,,,,,,,,,,,,,,,
Eastern Western,,,,,,#DIV/0!,,,,,,,,0,https://vimeo.com/1110294580/4a2e89c815?share=copy&fl=sv&fe=ci,,,108 mins,
,,,,,,#DIV/0!,,,,,,,,0,,,,,
,"
",,,,,#DIV/0!,,,,,,,,,,,,,
,,,,,,#DIV/0!,,,,,,,,,,,,,
,"
",,,,,#DIV/0!,,,,,,,,,,,,,
,"
",,,,,#DIV/0!,,,,,,,,,,,,,
,"
",,,,,#DIV/0!,,,,,,,,,,,,,
Documentary,,,,,,,,,,,,,,,,,,,
The Kid  / Dite,link TBD,*,,,,#DIV/0!,,,,,,,,,,,,,
Sniper Alley - To My Brother,,*,,,,#DIV/0!,,,,,,,,,https://www.youtube.com/watch?v=vpmo76ftBPY,,,83 mins,
Grandma Sena / Nena Sena,,*,,,1,5.0,,,,5.0,,,,,https://vimeo.com/1070658355,nenafest5,,30 mins,
Where Have You Been,,*,,,,#DIV/0!,,,,,,,,,https://vimeo.com/1006579881?share=copy&fl=sv&fe=ci,WHB_2026Preview!!!,,89 mins,
"Zemlja - The Land that Remembers, The Land That Forgets",,*,,,,#DIV/0!,,,,,,,,,https://vimeo.com/1125786426,invitalia,,47 mins,
House with Heart,,*,,,,#DIV/0!,,,,,,,,,https://vimeo.com/1099095630?share=copy,Kucasasrcem@lavah2025,,47 mins,
Piano-Boxing,"
",*,,,1,5.0,,,,5.0,,,m,,https://vimeo.com/1093950670?share=copy,refresh234,,14 mins,so many Lamjis in this film!
Distributor / CEASEFIRE,"
",*,,,,#DIV/0!,,,,,,,,,https://vimeo.com/1022076789,Hazira,,32 mins,
"Every Time You Leave, You Are Born Again","if not submitted, we will ask them for a screener",*,,,,#DIV/0!,,,,,,,,,,,,,
My Bitter Wounds / Rane Moje Ljute,"
",*,,,,#DIV/0!,,,,,,,,,https://youtu.be/snyOAesPV8o,,,82 mins,
Bosnian War Movie,"
",*,,,,#DIV/0!,,,,0.0,,,,,https://vimeo.com/markoxloncarevic/bosnianwarmovie?share=copy,bosnianwarmovie,,12 mins,
The Partisan Necropolis,,,,,,#DIV/0!,,,,,,,,0,https://vimeo.com/1064749850,PARTIZANSKO-GROBLJE-2025,,71 mins,
Dom,"
",,,,,#DIV/0!,,,,,,,,0,https://vimeo.com/1138167659?share=copy&fl=sv&fe=ci,pittura23,,84 mins,
Grandpa Guru,"
",,,,,#DIV/0!,,,,6.5,,,,0,https://vimeo.com/1118695906?share=copy&fl=sv&fe=ci,GrandpaGuru#0000999FF,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Short Narrative,,,,,,,,,,,,,,,,,,,
No Big Deal / Ništa Strašno,"
",,,,,#DIV/0!,,,,,,,,0,https://drive.google.com/file/d/1LPjYcBr9RlF0p_rtbXXLhqmLaGAxOT-8/view,,,17 mins,
